label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	-155 m^2	0.7046	boxing	Applied Mathematics	0.8007	-0.6416 m^3	950	-904	712	Technology and Information Management	-0.8874	217	1.2403	-0.3325
0	330 m^2	0.1641	running	Robotics Engineering	0.6337	1.379 m^3	243	526	-389	Games and Playable Media	0.5437	287	0.598	-0.0126
4	-243 m^2	1.3797	motor sports	Data Science	0.7158	-0.0992 m^3	-95	1274	1566	Bioinformatics	0.1774	876	-0.9706	0.4667
4	735 m^2	0.2309	motor sports	Data Science	1.4524	0.6598 m^3	1511	1273	1766	Electrical Engineering	-0.2494	426	0.4156	-0.2816
1	701 m^2	-1.7536	boxing	Applied Mathematics	-0.9882	0.5461 m^3	243	-1153	1594	Technology and Information Management	-0.0528	1558	0.8587	1.5935
3	-436 m^2	0.1886	track & field	Bioengineering	-0.9237	0.6845 m^3	1233	-694	3	Statistics	0.7334	-825	1.4038	
3	232 m^2	1.1302	track & field	Bioengineering	1.2486	-0.2811 m^3	-60	268	2818	Statistics	0.8042	269	-0.2588	-1.0395
0	-299 m^2	0.7024	football	Bioinformatics	-0.6959	1.0856 m^3	807	-620	4	Games and Playable Media	1.6105	-105	2.1501	0.4485
0	-1199 m^2	1.5963	running	Robotics Engineering, Bioinformatics	1.1085	-0.258 m^3	183	125	1543	Games and Playable Media	-0.0684	-1326	0.9792	0.9171
6	662 m^2	0.1345	soccer	Electrical Engineering, Computer Science	1.478	0.9481 m^3	-402	1021	862	Computer Game Design	1.7034	674	0.898	-0.5234
2	437 m^2	1.1316	BASEBALL	Computational Media	2.4713	-0.9807 m^3	1427	2308	172	Natural Language Processing	1.345	1956	0.5521	2.0852
4	388 m^2	0.2034	motor sports	Data Science	0.0451	0.1867 m^3	1571	412	-58	Bioinformatics	0.4113	n/a	-0.7778	0.6244
4	-511 m^2	0.3692	motor sports	Data Science	1.9197	-0.9997 m^3	870	2196	913	Bioinformatics	-0.078	1006	0.4324	1.7998
3	1355 m^2	0.6505	track & field	Games and Playable Media	0.4194	0.585 m^3	316	-5	?	Statistics	-0.2018	-294	0.232	0.5414
1	-247 m^2	0.6292	boxing	NATURAL LANGUAGE PROCESSING	-0.5207	0.2055 m^3	-267	-473	392	Technology and Information Management	0.8035	1124	1.2863	-0.5962
6	324 m^2	-0.0206	soccer	Electrical Engineering	0.7788	-1.7651 m^3	313	438	872	Computer Science	0.7264	-588	0.034	1.0739
4	862 m^2	1.0603	motor sports	Data Science	-0.6924	-1.2669 m^3	-569	574	220	Electrical Engineering	0.8905	-134	0.4714	1.2996
0	-126 m^2	0.8435	running	Human Computer Interaction, Robotics Engineering	0.2036	0.5366 m^3	1566	1345	2732	Games and Playable Media	0.5382	1334	1.0894	2.5587
4	-339 m^2	0.8403	motor sports	Data Science	1.0767	-0.0777 m^3	-1634	-1924	366	Bioinformatics	1.4558	-455	0.1938	1.4995
1	1527 m^2	0.764	boxing	Applied Mathematics	-1.1701	1.3979 m^3	345	253	1030	Biotechnology	-0.7513	332	1.4625	0.4971
1	-1055 m^2	1.3212	boxing	Natural Language Processing	0.551	0.6984 m^3	1868	-216	-54	Human Computer Interaction	0.6944	50	1.0026	-0.1246
4	462 m^2	0.7361	basketball	Data Science	1.2754	-0.1574 m^3	138	578	-1141	Applied Mathematics	0.6331	1170	?	0.0507
1	-84 m^2	0.7661	badminton	Natural Language Processing	-0.373	-0.3343 m^3	1105	129	1584	Biotechnology	-1.48	-339	1.6298	-0.5274
5	-191 m^2	0.6797	ice hockey	Computer Game Design	1.4013	1.5976 m^3	1721	230	2086	COMPUTER ENGINEERING	-0.4251	417	1.5873	2.2505
3	1532 m^2	0.128	track & field	Games and Playable Media	-0.8266	2.2922 m^3	-233	-2618	53	Statistics	1.1818	-1096	-0.5355	1.6759
4	1252 m^2	0.8926	motor sports	Data Science	-0.2438	-0.6576 m^3	2	647	369	Bioinformatics	1.4844	n/a	-0.2092	0.69
1	3 m^2	0.6961	badminton	Applied Mathematics	0.4111	-0.5292 m^3	616	200	577	Biotechnology	0.6111	656	0.1283	0.562
5	814 m^2	-0.0355	golf	Computer Engineering	1.0715	0.0489 m^3	721	406	-305	Data Science	0.787	602	0.1741	-0.5297
6	732 m^2	-1.2823	football	Electrical Engineering	2.6709	0.4157 m^3	-621	2225	-151	Computer Science	0.1403	1172	0.0831	1.0003
5	721 m^2	1.3721	ice hockey	Computer Engineering, Computer Game Design	0.8737	0.6829 m^3	-410	1472	-1332	Statistics	0.9104	-1068	0.1703	1.3175
0	-820 m^2	-1.0881	football	Bioinformatics	0.2933	-0.2931 m^3	-920	109	-468	Games and Playable Media	0.584	-865	0.7732	0.1791
2	1631 m^2	1.6141	baseball	Technology and Information Management	0.0396	-0.5293 m^3	544	179	1240	Natural Language Processing	0.1663	2055	1.6737	0.8485
6	619 m^2	-0.2715	soccer	Computer Science	0.5958	1.5825 m^3	-404	1268	1794	Computer Science	1.4625	-188	1.3623	-0.316
5	580 m^2	1.3283	ice hockey	Computer Engineering	-0.9214	0.3655 m^3	-595	196	-617	Robotics Engineering	1.5582	-701	1.0336	0.3045
3	772 m^2	0.7844	track & field	Games and Playable Media	0.1249	-0.5653 m^3	1075	-91	585	Statistics	0.4382	-1231	-0.6461	0.722
0	868 m^2	1.4224	running	Bioinformatics, Human Computer Interaction	1.0653	0.2341 m^3	1543	268	1473	Games and Playable Media	0.7808	-435	1.1455	-0.7903
6	847 m^2	1.0277	soccer	?	1.5602	1.4498 m^3	None	596	903	Computer Science	0.7331	389	-0.0016	-0.5127
0	208 m^2	2.1384	basketball	Bioinformatics	0.8742	0.9753 m^3	1377	-1009	173	Games and Playable Media	1.8463	371	1.0256	1.8256
6	1297 m^2	-0.6173	soccer	Biotechnology, Computer Science	0.5656	-0.3635 m^3	-1828	2708	-103	Computer Science	-0.3129	-650	2.0006	1.959
6	2025 m^2	0.4743	soccer	Electrical Engineering, Biotechnology	0.406	0.8856 m^3	-111	561	1177	Computer Game Design	-0.2783	-505	1.0904	0.1805
2	532 m^2	0.2579	volleyball	Computational Media	0.0317	2.0742 m^3	523	1390	NULL	Natural Language Processing	0.3597	487	1.7206	3.3661
0	589 m^2	1.142	football	Human Computer Interaction	0.8528	0.3175 m^3	428	-1224	203	rOBOTICS eNGINEERING	0.7177	554	1.3613	0.6779
6	423 m^2	-0.3618	soccer	Electrical Engineering	1.4429	-0.6864 m^3	-1143	544	1121	Computer Science	0.7924	-507	-0.4227	-0.2855
1	-135 m^2	1.9199	boxing	Natural Language Processing	0.7964	0.5449 m^3	656	316	307	Biotechnology	-0.7687	510	0.717	-0.1825
6	1679 m^2	1.3264	soccer	Biotechnology	-1.701	2.5883 m^3	614	900	-999	Computer Science	0.7281	299	0.6291	-1.3029
1	256 m^2	0.689	badminton	Applied Mathematics	1.5455	-0.5329 m^3	635	446	393	Human Computer Interaction	-0.315	192	0.848	-0.0672
0	69 m^2	0.9749	basketball	Robotics Engineering, Bioinformatics	1.3989	1.1452 m^3	-206	-271	1811	Games and Playable Media	0.8369	-620	0.6647	0.4553
1	1117 m^2	0.0757	badminton	Natural Language Processing	-1.085	0.6086 m^3	948	605	2309	Biotechnology	1.2804	613	1.0463	-0.1223
2	1295 m^2	-1.1076	volleyball	Technology and Information Management	1.0149	0.1021 m^3	-857	2969	754	Natural Language Processing	0.9762	1853	0.8719	1.665
4	926 m^2	1.4085	ice hockey	Data Science	0.7499	-0.3383 m^3	70	787	-95	Bioinformatics	-0.234	168	1.2065	1.6797
5	-424 m^2	-0.5773	golf	Computer Game Design, Computer Engineering	-0.0074	0.1999 m^3	234	1451	777	Computational Media	0.1067	377	0.274	0.5546
3	988 m^2	0.7586	baseball	Bioengineering	1.528	-0.7968 m^3	948	-476	911	Statistics	-1.2425	900	-0.309	1.2019
3	2092 m^2	0.9185	tennis	Bioengineering	0.1383	1.9301 m^3	-694	-477	-598	Statistics	1.2272	208	0.9082	0.9471
1	-236 m^2	2.0207	BADMINTON	Natural Language Processing	0.554	1.2385 m^3	1548	-528	1092	Technology and Information Management	1.6963	-151	1.2117	-0.1314
1	694 m^2	0.7993	boxing	Natural Language Processing	1.1148	-0.2025 m^3	146	-1591	1324	Technology and Information Management	-0.0109	767	0.9138	1.3086
5	2339 m^2	0.3259	ice hockey	Computer Game Design, Computer Engineering	0.1402	0.6094 m^3	363	-442	-182	Computational Media	0.6078	-171	0.2033	-0.1006
3	466 m^2	1.5923	track & field	Games and Playable Media	0.4622	1.7559 m^3	-167	1267	2369	Statistics	0.7099	1593	0.7247	0.3642
2	1184 m^2	1.4708	volleyball	Technology and Information Management	-0.5724	1.6291 m^3	961	1466	1098	Natural Language Processing	1.3619	1346	1.1849	1.3558
1	271 m^2	-0.1829	badminton	Natural Language Processing	-0.3049	-1.302 m^3	868	547	628	Human Computer Interaction	-1.0958	1280	0.418	0.9845
3	47 m^2	0.255	tennis	Games and Playable Media	-0.3063	-0.308 m^3	-1888	-396	436	Statistics	0.0998	-108	-0.4046	0.0781
1	674 m^2	0.8909	boxing	Natural Language Processing	-1.6296	0.8517 m^3	-13	318	1199	Biotechnology	0.413	48	0.1898	-0.9807
3	1658 m^2	1.2772	tennis	Bioengineering	-0.2183	-0.8337 m^3	623	1897	75	Statistics	-0.7525	-359	1.4465	-0.7577
4	1956 m^2	0.4558	track & field	Data Science	0.0964	0.9292 m^3	-481	2790	-1258	?	1.2249	-40	-0.3598	-0.1159
4	711 m^2	0.8692	motor sports	Data Science	0.8795	-0.6269 m^3	-76	546	773	Bioinformatics	0.0362	1370	0.005	1.0725
6	2525 m^2	-1.0065	soccer	Electrical Engineering, Biotechnology	-0.2299	1.3849 m^3	877	-312	1134	Computer Science	0.4677	-420	0.8826	0.5712
3	522 m^2	0.2253	track & field	GAMES AND PLAYABLE MEDIA	-0.2471	1.8261 m^3	-200	-839	11	Bioengineering	1.2067	262	1.0388	-0.1062
1	946 m^2	1.7868	boxing	Natural Language Processing	-0.2222	-1.2221 m^3	1209	789	1472	Biotechnology	1.6643	1579	1.4989	0.5949
0	8 m^2	-0.0692	running	Robotics Engineering, Human Computer Interaction	-0.077	0.5782 m^3	4	634	1036	Games and Playable Media	1.4559	-393	0.359	0.6836
6	-899 m^2	0.1272	soccer	Biotechnology	0.7538	0.3681 m^3	1400	1880	1604	Computer Game Design	1.6596	-514	0.9748	-0.5234
0	623 m^2	2.0265	running	Bioinformatics	1.9265	0.1332 m^3	-201	514	1617	Games and Playable Media	0.4731	-217	1.4104	0.744
3	14 m^2	0.3435	track & field	Games and Playable Media	-0.1414	1.0375 m^3	348	871	NULL	Statistics	?	72	0.9019	0.0997
5	-635 m^2	-0.007	golf	Computer Game Design	2.0841	2.0569 m^3	435	699	-383	Data Science	0.5766	89	1.0799	0.8625
4	498 m^2	1.8022	motor sports	Data Science	0.5539	-0.5163 m^3	682	1530	546	Applied Mathematics	-0.3431	388	1.0063	1.8482
6	1125 m^2	0.8905	soccer	Electrical Engineering	-1.3151	1.5552 m^3	1007	1514	-620	Computer Science	1.4926	522	0.5227	1.6178
6	-621 m^2	0.4408	soccer	Biotechnology	-0.5091	1.4759 m^3	1839	1365	1192	Computer Science	0.6815	-488	1.357	0.5785
4	-283 m^2	0.9494	motor sports	data science	1.6194	-0.5741 m^3	-233	162	-377	Bioinformatics	0.4384	1667	0.0237	1.4748
3	133 m^2	-0.2766	track & field	Bioengineering	0.3631	1.4601 m^3	2188	327	1730	Bioengineering	0.8221	192	0.8103	0.1664
0	-1343 m^2	1.7205	basketball	Human Computer Interaction, Robotics Engineering	0.5328	1.177 m^3	435	?	671	Games and Playable Media	0.1327	496	1.0908	1.0445
0	-216 m^2	1.5853	basketball	Bioinformatics	-1.2106	1.0543 m^3	-1073	224	1086	Games and Playable Media	0.7349	-480	0.1851	0.3808
6	1867 m^2	-0.1271	soccer	Biotechnology	1.5298	0.7302 m^3	394	1664	1252	Computer Game Design	0.9903	844	1.613	0.3218
4	-749 m^2	1.1745	motor sports	Data Science	1.7556	-1.1654 m^3	980	-78	-598	Electrical Engineering	1.2818	645	-1.0501	0.676
2	541 m^2	0.3249	volleyball	Computational Media	0.6855	1.1221 m^3	-66	-237	1041	Natural Language Processing	0.752	146	-0.1491	-0.0703
3	1255 m^2	-0.4895	TENNIS	Bioengineering	1.7894	0.7914 m^3	-759	-832	2146	Bioengineering	0.677	701	1.8197	-0.3484
3	463 m^2	0.0091	track & field	Games and Playable Media	-0.6855	0.3237 m^3	1568	212	33	Statistics	0.7124	384	1.8216	-0.248
0	-179 m^2	0.6428	football	Bioinformatics, Human Computer Interaction	0.3159	-0.1841 m^3	655	23	612	Games and Playable Media	0.9251	681	1.5158	1.0916
6	1380 m^2	0.8484	golf	ELECTRICAL ENGINEERING, BIOTECHNOLOGY	-0.0486	-0.8409 m^3	2115	2757	2024	COMPUTER GAME DESIGN	1.1284	-713	1.0798	0.1249
5	-565 m^2	2.0671	golf	Computer Engineering	0.2124	1.2086 m^3	323	-272	492	Computational Media	0.6174	-265	0.6423	-0.1455
6	-91 m^2	-0.6066	soccer	Electrical Engineering, Biotechnology	0.1902	1.6759 m^3	329	1128	-313	Computer Game Design	?	1057	0.2203	0.547
5	1189 m^2	0.4294	ice hockey	Statistics	1.0002	1.0801 m^3	989	947	477	Data Science	1.5403	147	1.2215	0.1596
5	-939 m^2	-0.6202	golf	Computer Game Design	0.2902	0.1323 m^3	222	824	1358	Electrical Engineering	0.4245	238	0.21	2.0247
0	-1943 m^2	0.5181	running	Robotics Engineering	0.3314	0.5299 m^3	-1794	413	685	Games and Playable Media	0.4162	-775	1.4349	0.1726
6	824 m^2	-1.246	soccer	Electrical Engineering, Computer Science	0.6707	1.5037 m^3	907	3145	878	Computer Game Design	0.5325	-177	0.2276	0.7452
6	-21 m^2	-0.3081	soccer	Computer Science, Biotechnology	-0.0645	-0.4226 m^3	-155	1570	22	Computer Science	1.9665	350	0.5624	0.4397
3	1301 m^2	1.2	Track & Field	games and playable media	0.6638	1.1989 m^3	-282	-563	1399	sTATISTICS	0.7727	283	0.4538	0.4341
4	1784 m^2	0.3011	motor sports	Data Science	0.8364	-0.1382 m^3	18	564	-1000	Bioinformatics	-0.3259	521	-0.0152	0.2311
5	-1264 m^2	-0.75	ice hockey	Computer Game Design	0.9604	1.1449 m^3	360	535	1091	Computer Engineering	-0.1713	-363	2.4444	0.7764
1	26 m^2	0.6098	soccer	Applied Mathematics	0.2105	1.2587 m^3	1845	226	385	hUMAN cOMPUTER iNTERACTION	0.0344	598	0.757	-1.7807
3	1321 m^2	1.2985	tennis	Bioengineering	0.7207	0.285 m^3	-655	2061	1875	Bioengineering	-0.152	538	0.6996	-0.0153
3	n/a	0.1386	tennis	Bioengineering	0.5309	1.0354 m^3	330	2102	690	Bioengineering	1.1326	159	-0.1393	0.8331
5	-198 m^2	-0.0891	ice hockey	Computer Game Design	0.8453	-0.0256 m^3	155	-354	422	Data Science	0.0623	976	1.076	-0.8929
3	698 m^2	-0.0501	tennis	Games and Playable Media	-0.0561	0.8907 m^3	721	1677	1395	Bioengineering	-0.2015	785	1.0762	-0.4451
5	-78 m^2	-1.3092	ice hockey	Computer Game Design	0.5657	1.263 m^3	-1075	1052	363	Biotechnology	-0.0524	1549	0.3322	-0.0415
5	-111 m^2	0.3615	ice hockey	Computer Engineering, Statistics	-0.8017	1.5276 m^3	-928	-816	None	Computational Media	0.1882	-673	1.13	2.1574
5	1041 m^2	0.1629	golf	Statistics, Computer Engineering	-0.7738	0.5392 m^3	-815	-814	1439	Computer Engineering	-0.462	-71	0.3457	0.2723
6	317 m^2	1.4498	soccer	Electrical Engineering	2.4439	0.2718 m^3	827	985	363	Computer Game Design	1.2663	1119	1.3265	-1.7239
5	264 m^2	0.9849	golf	Statistics	1.4773	0.2077 m^3	NULL	94	1685	Computer Engineering	-0.6763	-382	0.7329	0.6365
4	-204 m^2	2.1411	motor sports	Data Science	1.7489	2.7402 m^3	211	89	-415	Bioinformatics	0.8901	1035	1.463	-0.1592
2	761 m^2	0.5381	volleyball	Computational Media	1.6827	0.5738 m^3	-382	704	1072	Natural Language Processing	-0.5227	-16	1.0772	2.3784
2	517 m^2	-0.0745	baseball	Technology and Information Management	0.5207	0.2951 m^3	-852	993	-1040	Natural Language Processing	0.8752	-290	1.25	0.1013
6	125 m^2	1.4845	Soccer	Electrical Engineering, Computer Science	1.1102	-0.4559 m^3	1378	1070	203	Computer Game Design	0.3558	413	0.987	-0.6182
0	-505 m^2	1.72	football	Robotics Engineering	1.0237	0.0258 m^3	611	1039	1703	Games and Playable Media	0.0031	393	1.4531	0.6449
4	849 m^2	0.0935	motor sports	Data Science	0.9239	-0.9375 m^3	-788	-2142	-51	Applied Mathematics	0.5392	1198	0.4861	-0.3318
6	512 m^2	0.2453	soccer	Biotechnology	0.9478	-0.5641 m^3	1389	1846	868	Computer Science	1.1862	1509	1.7698	-1.7143
4	-88 m^2	0.7163	motor sports	Data Science	1.6934	1.7503 m^3	372	-270	834	Electrical Engineering	0.2786	619	-0.2772	2.2577
3	338 m^2	1.0598	track & field	games and playable media	0.5784	-0.0713 m^3	-419	191	1337	Statistics	-0.1523	-8	0.6479	-0.1501
1	1992 m^2	0.0175	boxing	Applied Mathematics	0.5621	-0.533 m^3	1639	-78	740	Human Computer Interaction	0.8491	888	0.6542	-0.1418
6	1266 m^2	0.591	soccer	Biotechnology	1.1083	-0.3183 m^3	-1668	708	1207	Computer Science	1.4761	71	1.0818	0.0762
6	1875 m^2	0.109	soccer	Biotechnology, Computer Science	-0.5405	1.7972 m^3	-1006	2181	-375	Computer Game Design	0.4287	11	1.0822	-0.5891
6	408 m^2	-0.305	soccer	Electrical Engineering	-0.0152	0.5076 m^3	238	694	-72	Computer Game Design	0.438	-1161	0.1402	0.4819
1	117 m^2	1.0529	boxing	Applied Mathematics	-0.9635	-0.2483 m^3	1472	85	573	Technology and Information Management	0.9459	-398	0.7086	-0.5614
3	928 m^2	-1.5226	track & field	Bioengineering	1.2024	0.7404 m^3	1175	-846	n/a	Statistics	-0.3982	180	None	1.4469
4	1230 m^2	0.1344	badminton	Data Science	-1.3147	0.001 m^3	-410	-256	-721	Applied Mathematics	1.1367	1392	-0.0169	0.2726
3	-716 m^2	0.6074	track & field	Games and Playable Media	-0.2211	-0.066 m^3	1228	1275	1714	Statistics	1.8032	-615	1.2538	-0.0794
6	1762 m^2	0.5706	soccer	Biotechnology	-0.1032	-1.2902 m^3	1311	1591	1451	Computer Game Design	-1.8178	1461	0.6551	-1.2459
0	-527 m^2	1.5911	basketball	Human Computer Interaction	0.0037	1.2765 m^3	171	103	1657		-0.2703	1002		1.1738
5	-22 m^2	1.9634	golf	Computer Engineering, Statistics	1.952	0.5515 m^3	-107	112	1444	Computer Engineering	2.3414	1224	0.3662	-0.0825
6	-105 m^2	1.5766	soccer	Biotechnology, Electrical Engineering	1.6704	1.3667 m^3	96	1552	295	Computer Game Design	-0.4692	-831	-0.0819	-0.7795
0	450 m^2	2.1281	football	Bioinformatics	0.5127	0.426 m^3	-834	-7	202	Games and Playable Media	0.2752	156	0.0226	-0.1687
0	-1446 m^2	0.8968	RUNNING	Robotics Engineering, Bioinformatics	0.149	0.9381 m^3	-664	683	734	Games and Playable Media	1.0515	329	0.8735	0.2826
1	-494 m^2	-0.6278	badminton	Natural Language Processing	1.1893	-0.9309 m^3	1465	-125	939	Technology and Information Management	0.8006	314	1.0472	-0.2742
6	1000 m^2	-1.1586	soccer	Computer Science	0.7606	-0.318 m^3	813	426	746	Computer Science	1.0817	49	0.4408	-0.2962
6	98 m^2	-0.3509	soccer	Computer Science	0.6516	1.6384 m^3	190	1658	1093	Computer Science	-1.3956	660	0.828	0.7729
2	1552 m^2	-1.3149	baseball	Computational Media	0.7978	-0.9761 m^3	1003	1538	203	Natural Language Processing	-0.8514	716	-0.3441	1.2034
6	1524 m^2	0.1624	soccer	Electrical Engineering, Computer Science	-0.0176	1.141 m^3	-87	880	1113	Computer Game Design	0.4935	-1059	0.5133	1.6309
5	-939 m^2	-0.5615	golf	Statistics	0.4571	0.3432 m^3	-378	1483	-253	Data Science	0.8498	-718	0.7698	0.4506
3	1629 m^2	-0.3535	track & field	Games and Playable Media	-0.293	0.8604 m^3	346	-499	232	Statistics	0.7897	181	0.5304	0.2943
3	-9 m^2	0.738	tennis	Bioengineering	-0.6187	0.8004 m^3	683	1274	957	Statistics	0.4866	1557	1.3741	-0.0298
2	2343 m^2	0.9561	volleyball	Technology and Information Management	0.1935	0.2508 m^3	65	938	-469	Natural Language Processing	0.5446	145	0.4957	1.1332
4	1087 m^2	0.8089	motor sports	Data Science	-0.598	-1.2351 m^3	-242	691	?	Applied Mathematics	-0.0027	-492	1.2664	2.0841
3	1461 m^2	0.4117	tennis	Bioengineering	0.3899	0.8626 m^3	1284	544	955	Bioengineering	1.2376	1088	0.4802	1.0139
5	-1451 m^2	1.232	golf	Computer Engineering, Computer Game Design	1.4921	0.0601 m^3		-73	1653	Data Science	1.2386	1153	0.3079	1.0338
0	807 m^2	-0.6725	None	Robotics Engineering	0.996	1.1426 m^3	357	-678	2555	Games and Playable Media	0.2992	-373	1.4871	1.5725
3	-88 m^2	-1.3407	tennis	BIOENGINEERING	0.8404	0.5357 m^3	1909	196	-30	Statistics	-0.1315	-204	-0.1639	-1.339
6	-1249 m^2	0.7884	soccer	Computer Science, Biotechnology	0.8802	-0.2742 m^3	774	-221	163	Computer Science	0.092	-741	0.9044	-0.7833
6	-340 m^2	1.3372	soccer	Computer Science, Electrical Engineering	0.3921	-0.1181 m^3	313	281	-14	Computer Science	0.2498	-34	0.9089	1.0627
5	139 m^2	-0.0817	golf	Statistics, Computer Game Design	0.556	0.9063 m^3	-375	-1171	487	robotics engineering	1.1221	-1138	0.6289	0.899
